intent,action
幫我記一下明天買高麗菜,ADD_MEMO
明天要買牛奶,ADD_MEMO
三餐飯後吃一包Actine,SET_REMINDER
每天早上起床吃一顆B群,SET_REMINDER
三餐飯前30分鐘喝胃乳,SET_REMINDER
下午兩點提醒我點眼藥水,SET_REMINDER
睡前要記得吃一顆抗組織胺,SET_REMINDER
每隔六小時吃一次普拿疼,SET_REMINDER
每週一早上吃一顆阿崙膦酸鈉,SET_REMINDER
飯後兩小時記得服用降血糖藥,SET_REMINDER
每天傍晚五點幫我設定擦類固醇藥膏,SET_REMINDER
早晚各吃一包化痰散,SET_REMINDER
空腹時吃一顆益生菌,SET_REMINDER
晚上洗完澡後幫傷口換藥,SET_REMINDER
每四小時量一次體溫並記錄,SET_REMINDER
出門前記得噴氣喘擴張劑,SET_REMINDER
每週三和週五晚上吃維他命D,SET_REMINDER
飯後記得吃這包止痛藥,SET_REMINDER
提醒我每晚十點打胰島素,SET_REMINDER
中午十二點吃鈣片跟維他命C,SET_REMINDER
睡覺前幫我設定擦痘痘藥膏,SET_REMINDER
每三天換一次酸痛貼布,SET_REMINDER
每天下午三點提醒我喝500cc的水,SET_REMINDER
醫生說晚上九點要搭火車,SET_REMINDER
記錄我下午要去週會,SET_REMINDER
幫我記早上八點前要出門,SET_REMINDER
幫我記得下午四點開會,SET_REMINDER
提醒我明天要上課,SET_REMINDER
明天告訴我要上班,SET_REMINDER
我今天有什麼事,GET_SCHEDULE
晚上10點我有事嗎,GET_SCHEDULE
今天要加班嗎,GET_SCHEDULE
今天有加課嗎,GET_SCHEDULE
今天有排班嗎,GET_SCHEDULE
今天有排課嗎,GET_SCHEDULE
明天下午我有什麼排程,GET_SCHEDULE
下個月有什麼事嗎,GET_SCHEDULE
這星期的行程是什麼,GET_SCHEDULE
幫我看看今天的行程,GET_SCHEDULE
今天的待辦事項有哪些,GET_SCHEDULE
我今天的行程安排,GET_SCHEDULE
請告訴我今天的計畫,GET_SCHEDULE
今天有什麼要注意的事,GET_SCHEDULE
今天的日程是什麼,GET_SCHEDULE
幫我查詢今天的活動,GET_SCHEDULE
今天有什麼重要的事,GET_SCHEDULE
請列出今天的待辦事項,GET_SCHEDULE
幫我看今天的課表,GET_SCHEDULE
醫生說不要喝冷飲，建議改喝溫水以減少對氣管或胃部的刺激,ADD_MEDICATION
醫生建議不要吃生食，特別是在免疫力低下或化療期間，以避免細菌感染,ADD_MEDICATION
醫生說不要飯後立刻刷牙，尤其是吃完酸性食物後，應先漱口，等30分鐘再刷，以免傷害牙釉質,ADD_MEDICATION
醫生建議睡前不要滑手機，藍光會抑制褪黑激素分泌，嚴重影響睡眠品質,ADD_MEDICATION
醫生說不要過度依賴止痛藥，長期自行服用可能會掩蓋真正的病因，甚至造成腎損傷,ADD_MEDICATION
醫生建議急性扭傷初期不要拉伸，過度牽引可能會加重肌肉或韌帶的撕裂,ADD_MEDICATION
醫生建議關節發炎時不要熱敷，急性期應先冷敷以消炎消腫，熱敷反而會加劇發炎,ADD_MEDICATION
醫生說不要久坐不動，每50分鐘應起身活動5分鐘，預防下肢深層靜脈栓塞,ADD_MEDICATION
醫生建議不要在硬地長跑，以免對膝關節造成過大的衝擊壓力,ADD_MEDICATION
